time,X,Y,theta,u,v,omega
0.0,0.01011313708498985,0.0014242640687119287,0.0008,0.10113137084989848,0.014242640687119286,0.008
0.1,0.03033027549981015,0.004276263978924982,0.0023990400000000003,0.20219413545021148,0.02835825288566469,0.015990400000000002
0.2,0.06064124934086727,0.008567224679912413,0.0047961611520000004,0.30321180791802393,0.04218231183979973,0.02397121152
0.30000000000000004,0.101034855167696,0.01431614160629433,0.007990405758617602,0.40420713863712643,0.05555117304568895,0.031942446066176
0.4,0.1514988260982157,0.021549794664535056,0.011980817271707262,0.5052015917100755,0.06830198824294433,0.03990411513089659
0.5,0.21201978723521905,0.030302758801203894,0.016766440290981215,0.6062148275524996,0.08027262713990044,0.04785623019273952
0.6000000000000001,0.2825831922918047,0.040617410983491795,0.022346320562632038,0.7072641902275896,0.09130160734536413,0.05579880271650823
0.7000000000000001,0.3631732413042177,0.05254393334713908,0.028719504977956882,0.8083641991667038,0.10122803493570691,0.06373184415324842
0.8,0.4537727793423366,0.06614031219007796,0.035885041571983335,0.9095260449852706,0.10989155804509834,0.07165536594026453
0.9,0.5543631761512995,0.08147233241191662,0.04384197952209696,1.010757089181305,0.11713233582783245,0.07956937950113621
1.0,0.6649241866829808,0.09861356692008524,0.052589369146670444,1.1120603675964942,0.12279102510447819,0.08747389624573484
1.1,0.785433792503714,0.11764536044323312,0.06212626190369444,1.2134340976266087,0.12670878696728036,0.09536892757023996
1.2000000000000002,0.9158680240953176,0.13865680711153233,0.07245171038941,1.3148711892885996,0.12872731558403078,0.10325448485715567
1.3,1.0562007641006579,0.16174472108214774,0.08356476833694272,1.4163587603858239,0.12868889140260303,0.11113057947532709
1.4000000000000001,1.206403531603205,0.18701359940654197,0.09546449061493839,1.5178776561600353,0.12643646091947677,0.1189972227799567
1.5,1.3664452475728655,0.2145755762547946,0.10814993322620046,1.6194019739787269,0.12181374513375695,0.12685442611262074
1.6,1.536291981658354,0.24455036753106094,0.12162015330632903,1.7208985937787147,0.11466537876221368,0.1347022008012856
1.7000000000000002,1.7159066805600514,0.27706520483405195,0.13587420912236142,1.822326715171092,0.10483708223943751,0.14254055816032404
1.8,1.9052488782772443,0.3122547576374067,0.15091116007141459,1.9236374023083627,0.09217586846895058,0.15036950949053166
1.9000000000000001,2.1042743885903925,0.35026104248752726,0.16673006667932888,2.0247731378211595,0.0765302862245851,0.15818906607914301
2.0,2.312934980213155,0.3912333179413912,0.18332999059931368,2.1256673873488454,0.05775070202511676,0.16599923919984805
2.1,2.531178035130842,0.43532796389464423,0.2007099946105945,2.2262441764147787,0.03568962221743653,0.17380004011280822
2.2,2.7589461907322312,0.48270834388158046,0.21886914261706178,2.3264176816323117,0.010202056902819036,0.18159148006467285
2.3000000000000003,2.9961769664407427,0.5335446488641795,0.23780649964592132,2.4260918384707546,-0.01885407277459204,0.18937357028859525
2.4000000000000004,3.242802375659239,0.5880137209680187,0.25752113184634623,2.525159968060537,-0.05161748258983809,0.19714632200424895
2.5,3.498748523960532,0.6462988555695153,0.27801210648813063,2.6235044257724525,-0.08822302721256947,0.20490974641784385
2.6,3.7639351945833726,0.7085895800925811,0.2992784919603449,2.7209962745658176,-0.12880115512871154,0.21266385472214244
2.7,4.038275422431475,0.7750814078344668,0.3213193577699925,2.8174949863631173,-0.17347731563302685,0.22040865809647586
2.8000000000000003,4.321675057921118,0.8459755651115115,0.3441337745406685,2.91284817497252,-0.22237131723251077,0.2281441677067601
2.9000000000000004,4.61403232218113,0.9214786899969623,0.3677208140112197,3.0068913643426294,-0.27559663704106674,0.235870394705512
3.0,4.91523735527751,1.0018025009163325,0.3920795490344062,3.099447796193885,-0.33325968101332026,0.24358735023186537
3.1,5.225171759313339,1.087163433372377,0.4172090535755649,3.1903282813257556,-0.3954589951613515,0.2512950454115872
3.2,5.543708138442654,1.1777822430931764,0.4431084027112743,3.2793310991457556,-0.4622844282240621,0.2589934913570933
3.3000000000000003,5.8707096380340795,1.273883573934652,0.46977667262802075,3.366241950202471,-0.5338162466162296,0.2666826991674648
3.4000000000000004,6.206029485425443,1.3756954889247064,0.4972129406208671,3.4508339667271652,-0.61012420287428,0.2743626799284638
3.5,6.549510534923557,1.4834489629118204,0.5254162850921221,3.5328677863937874,-0.6912665592394815,0.28203344471254965
3.6,6.900984819922546,1.59737733537805,0.5543857855500116,3.6120916946917196,-0.7772890684774721,0.2896950045788946
3.7,7.26027311523826,1.7177157220967199,0.5841205226073516,3.6882418414655005,-0.8682239145263833,0.2973473705733999
3.8000000000000003,7.627184512983726,1.844700384460413,0.6146195779802228,3.7610425373069214,-0.9640886160946157,0.30499055372871187
3.9000000000000004,8.001516015539407,1.978568055476831,0.6458820344866466,3.8302066355829067,-1.0648848968935536,0.3126245650642375
4.0,8.383052149399914,2.1195552216303457,0.6779069760452626,3.895436005942828,-1.1705975267897917,0.32024941558616055
4.1000000000000005,8.771564603903439,2.267897360037134,0.7106934876740083,3.9564221051664648,-1.2811931387950104,0.32786511628745696
4.2,9.166811899068458,2.423828130583035,0.7442406554887995,4.0128466511836605,-1.396619027478233,0.335471678147912
4.3,9.568539086971292,2.5875785230269,0.7785475667022129,4.06438240601349,-1.5168019350830906,0.3430691121341345
4.4,9.976477491294238,2.7593759593791836,0.8136133096221703,4.110694073229056,-1.6416468323596367,0.3506574291995733
4.5,10.390344489853508,2.9394433522265078,0.8494369736506237,4.151439315348257,-1.7710357018733205,0.358236640284534
4.6000000000000005,10.809843345074956,3.1279981200682703,0.8860176492822429,4.18626989627534,-1.9048263323294232,0.36580675631619236
